,Date,GLD,EEM,QQQ,TLT,GLD_Lag,EEM_Lag,QQQ_Lag,TLT_Lag
0,2005-01-03,42.98,22.411112,40.09,88.18,,,,
1,2005-01-04,42.799999,22.138889,39.669998,88.720001,,,,
2,2005-01-05,42.75,21.48889,38.68,87.989998,,,,
3,2005-01-06,42.48,21.316668,38.630001,88.290001,,,,
4,2005-01-07,42.09,21.377777,38.560001,88.760002,,,,
5,2005-01-10,41.990002,21.4,38.439999,88.639999,,,,
6,2005-01-11,42.209999,21.4,38.369999,88.900002,,,,
7,2005-01-12,42.52,21.4,38.43,88.870003,,,,
8,2005-01-13,42.389999,21.587778,38.580002,89.75,,,,
9,2005-01-14,42.189999,21.666668,38.200001,89.900002,,,,
10,2005-01-18,42.220001,21.804443,38.279999,89.800003,,,,
11,2005-01-19,42.650002,21.886667,38.73,90.800003,,,,
12,2005-01-20,42.119999,21.5,37.650002,90.419998,,,,
13,2005-01-21,42.32,21.611111,37.48,90.599998,,,,
14,2005-01-24,42.740002,21.763332,37.119999,91.089996,,,,
15,2005-01-25,42.529999,21.611111,36.77,91.360001,,,,
16,2005-01-26,42.59,22.0,36.959999,90.849998,,,,
17,2005-01-27,42.48,21.985556,37.09,90.519997,,,,
18,2005-01-28,42.709999,22.049999,37.220001,91.220001,,,,
19,2005-01-31,42.209999,22.222221,37.360001,91.330002,,,,
20,2005-02-01,42.09,22.442223,37.490002,91.440002,,,,
21,2005-02-02,42.220001,22.502222,37.639999,91.199997,,,,
22,2005-02-03,41.560001,22.5,37.380001,91.059998,,,,
23,2005-02-04,41.59,22.68111,37.150002,92.470001,,,,
24,2005-02-07,41.549999,22.933332,37.799999,92.739998,,,,
25,2005-02-08,41.189999,23.016666,37.66,93.370003,,,,
26,2005-02-09,41.029999,23.072222,37.77,93.440002,,,,
27,2005-02-10,41.529999,22.861111,37.259998,93.489998,,,,
28,2005-02-11,41.889999,23.102222,37.029999,92.459999,,,,
29,2005-02-14,42.419998,23.444445,37.700001,92.900002,,,,
30,2005-02-15,42.400002,23.516666,37.900002,92.599998,,,,
31,2005-02-16,42.32,23.5,38.029999,92.510002,,,,
32,2005-02-17,42.52,23.516666,38.049999,91.760002,,,,
33,2005-02-18,42.709999,23.51111,37.48,90.550003,,,,
34,2005-02-22,43.389999,23.799999,37.029999,90.629997,,,,
35,2005-02-23,43.290001,23.833332,37.040001,91.139999,,,,
36,2005-02-24,43.48,23.955557,36.849998,91.160004,,,,
37,2005-02-25,43.41,24.277779,37.380001,90.889999,,,,
38,2005-02-28,43.68,24.722221,37.459999,91.099998,,,,
39,2005-03-01,43.299999,24.503332,37.369999,89.540001,,,,
40,2005-03-02,43.16,24.334444,37.41,89.449997,,,,
41,2005-03-03,43.060001,24.333332,37.709999,89.620003,,,,
42,2005-03-04,43.310001,24.441111,37.599998,89.989998,,,,
43,2005-03-07,43.32,24.557777,37.599998,90.849998,,,,
44,2005-03-08,43.709999,24.666668,38.009998,90.129997,,,,
45,2005-03-09,43.950001,24.5,37.669998,89.18,,,,
46,2005-03-10,44.150002,24.166668,37.610001,88.739998,,,,
47,2005-03-11,44.310001,24.110001,37.689999,88.650002,,,,
48,2005-03-14,44.259998,23.889999,37.240002,88.370003,,,,
49,2005-03-15,44.23,23.733334,37.419998,89.290001,,,,
50,2005-03-16,44.290001,23.055555,36.91,88.540001,,,,
51,2005-03-17,43.970001,22.981112,36.610001,89.349998,,,,
52,2005-03-18,43.610001,23.555555,36.75,88.900002,,,,
53,2005-03-21,43.209999,23.303333,36.599998,88.669998,,,,
54,2005-03-22,43.209999,22.922222,36.610001,88.940002,42.98,22.411112,40.09,88.18
55,2005-03-23,42.599998,22.233334,36.09,87.529999,42.799999,22.138889,39.669998,88.720001
56,2005-03-24,42.509998,22.333332,36.389999,88.32,42.75,21.48889,38.68,87.989998
57,2005-03-28,42.459999,22.544443,36.41,87.989998,42.48,21.316668,38.630001,88.290001
58,2005-03-29,42.610001,22.288889,36.27,88.080002,42.09,21.377777,38.560001,88.760002
59,2005-03-30,42.650002,22.111111,36.23,88.199997,41.990002,21.4,38.439999,88.639999
60,2005-03-31,42.869999,22.234444,36.73,89.199997,42.209999,21.4,38.369999,88.900002
61,2005-04-01,42.599998,22.611111,36.82,89.529999,42.52,21.4,38.43,88.870003
62,2005-04-04,42.43,22.76111,36.25,89.279999,42.389999,21.587778,38.580002,89.75
63,2005-04-05,42.490002,22.722221,36.490002,89.239998,42.189999,21.666668,38.200001,89.900002
64,2005-04-06,42.490002,22.888889,36.66,89.410004,42.220001,21.804443,38.279999,89.800003
65,2005-04-07,42.77,23.122223,36.529999,89.300003,42.650002,21.886667,38.73,90.800003
66,2005-04-08,42.48,23.200001,37.0,88.559998,42.119999,21.5,37.650002,90.419998
67,2005-04-11,42.84,23.058889,36.75,88.970001,42.32,21.611111,37.48,90.599998
68,2005-04-12,42.700001,22.922222,36.439999,89.230003,42.740002,21.763332,37.119999,91.089996
69,2005-04-13,42.759998,23.088888,36.560001,90.349998,42.529999,21.611111,36.77,91.360001
70,2005-04-14,42.450001,22.666668,36.060001,90.080002,42.59,22.0,36.959999,90.849998
71,2005-04-15,42.380001,22.055555,35.240002,90.540001,42.48,21.985556,37.09,90.519997
72,2005-04-18,42.549999,21.555555,34.709999,91.370003,42.709999,22.049999,37.220001,91.220001
73,2005-04-19,42.790001,22.083332,35.02,91.339996,42.209999,22.222221,37.360001,91.330002
74,2005-04-20,43.209999,22.344444,35.209999,91.220001,42.09,22.442223,37.490002,91.440002
75,2005-04-21,43.419998,22.033333,35.119999,91.300003,42.220001,22.502222,37.639999,91.199997
76,2005-04-22,43.459999,22.355556,35.459999,91.269997,41.560001,22.5,37.380001,91.059998
77,2005-04-25,43.349998,22.311111,35.299999,91.660004,41.59,22.68111,37.150002,92.470001
78,2005-04-26,43.689999,22.444445,35.290001,91.989998,41.549999,22.933332,37.799999,92.739998
79,2005-04-27,43.529999,22.211111,34.869999,92.050003,41.189999,23.016666,37.66,93.370003
80,2005-04-28,43.16,22.055555,34.919998,92.050003,41.029999,23.072222,37.77,93.440002
81,2005-04-29,43.18,22.055555,35.0,92.57,41.529999,22.861111,37.259998,93.489998
82,2005-05-02,43.130001,22.361111,35.099998,92.150002,41.889999,23.102222,37.029999,92.459999
83,2005-05-03,42.75,22.388889,35.049999,92.07,42.419998,23.444445,37.700001,92.900002
